Data;Último;Abertura;Máxima;Mínima;Vol.;Var%
01/01/2024;4,8526;4,8534;4,8534;4,8534;;0,01%
02/01/2024;4,9235;4,8533;4,924;4,8489;;1,46%
03/01/2024;4,9198;4,9174;4,9397;4,8991;;-0,08%
04/01/2024;4,8968;4,9181;4,9366;4,8953;;-0,47%
05/01/2024;4,8743;4,9089;4,9407;4,8597;;-0,46%
08/01/2024;4,87;4,8781;4,9014;4,863;;-0,09%
09/01/2024;4,9038;4,8737;4,9098;4,8703;;0,69%
10/01/2024;4,8909;4,9072;4,9072;4,8776;;-0,26%
11/01/2024;4,87;4,893;4,8951;4,858;;-0,43%
12/01/2024;4,8539;4,8712;4,8787;4,8309;;-0,33%
15/01/2024;4,8628;4,8566;4,8868;4,8427;;0,18%
16/01/2024;4,9258;4,8615;4,9338;4,8614;;1,30%
17/01/2024;4,9349;4,9299;4,9547;4,9224;;0,18%
18/01/2024;4,9269;4,9349;4,9561;4,9127;;-0,16%
19/01/2024;4,931;4,9299;4,9396;4,902;;0,08%
22/01/2024;4,9892;4,9338;4,9932;4,923;;1,18%
23/01/2024;4,9535;4,9885;5,0023;4,9479;;-0,72%
24/01/2024;4,9335;4,9525;4,9538;4,9075;;-0,40%
25/01/2024;4,9165;4,9306;4,9418;4,9066;;-0,34%
26/01/2024;4,9168;4,9063;4,921;4,9018;;0,01%
29/01/2024;4,9518;4,9175;4,9585;4,9056;;0,71%
30/01/2024;4,9516;4,9433;4,9819;4,9332;;0,00%
31/01/2024;4,9526;4,9501;4,9668;4,925;;0,02%
01/02/2024;4,9163;4,9496;4,9697;4,91;;-0,73%
02/02/2024;4,9699;4,9167;4,9764;4,9072;;1,09%
05/02/2024;4,9854;4,9663;5,0184;4,9661;;0,31%
06/02/2024;4,9634;4,9879;4,9891;4,9508;;-0,44%
07/02/2024;4,9685;4,96;4,9749;4,9525;;0,10%
08/02/2024;4,992;4,9717;5,0017;4,9676;;0,47%
09/02/2024;4,9517;4,9903;4,9918;4,9497;;-0,81%
12/02/2024;4,9536;4,9537;4,957;4,9535;;0,04%
13/02/2024;4,9536;4,9537;4,957;4,952;;0,00%
14/02/2024;4,969;4,9537;4,9797;4,9535;;0,31%
15/02/2024;4,9732;4,974;4,9833;4,9564;;0,08%
16/02/2024;4,9665;4,9737;4,9894;4,9594;;-0,13%
19/02/2024;4,9564;4,9686;4,9713;4,9514;;-0,20%
20/02/2024;4,9275;4,957;4,9654;4,9246;;-0,58%
21/02/2024;4,9358;4,9278;4,9468;4,9194;;0,17%
22/02/2024;4,9605;4,9382;4,9659;4,9186;;0,50%
23/02/2024;4,9951;4,961;4,9978;4,9595;;0,70%
26/02/2024;4,9799;4,9943;4,9963;4,9703;;-0,30%
27/02/2024;4,9335;4,9802;4,9839;4,9281;;-0,93%
28/02/2024;4,9675;4,9338;4,9764;4,9316;;0,69%
29/02/2024;4,9716;4,9689;4,9993;4,9619;;0,08%
01/03/2024;4,9541;4,9708;4,975;4,9458;;-0,35%
04/03/2024;4,9458;4,9545;4,9588;4,9404;;-0,17%
05/03/2024;4,9581;4,9471;4,9622;4,9398;;0,25%
06/03/2024;4,9446;4,9586;4,9611;4,9328;;-0,27%
07/03/2024;4,935;4,9451;4,9473;4,9311;;-0,19%
08/03/2024;4,9806;4,9345;4,9923;4,9341;;0,92%
11/03/2024;4,9771;4,9835;5,0004;4,9598;;-0,07%
12/03/2024;4,9718;4,978;4,9957;4,9581;;-0,11%
13/03/2024;4,97;4,972;4,9887;4,9621;;-0,04%
14/03/2024;4,9895;4,9705;4,9945;4,953;;0,39%
15/03/2024;4,9949;4,9897;5,0022;4,9812;;0,11%
18/03/2024;5,0253;4,996;5,0324;4,9834;;0,61%
19/03/2024;5,0301;5,0261;5,0557;5,01;;0,10%
20/03/2024;4,9691;5,0313;5,0354;4,9649;;-1,21%
21/03/2024;4,9781;4,9688;4,9865;4,9504;;0,18%
22/03/2024;4,9997;4,9781;5,0099;4,9739;;0,43%
25/03/2024;4,9751;5,0023;5,0065;4,9718;;-0,49%
26/03/2024;4,9808;4,9752;4,9942;4,9651;;0,11%
27/03/2024;4,9866;4,9816;4,9942;4,9716;;0,12%
28/03/2024;5,0129;4,9871;5,0184;4,9788;;0,53%
29/03/2024;5,0153;5,0155;5,0163;5,0139;;0,05%
01/04/2024;5,0543;5,0147;5,0708;5,0093;;0,78%
02/04/2024;5,0576;5,0551;5,0631;5,0216;;0,07%
03/04/2024;5,0393;5,0584;5,0921;5,0349;;-0,36%
04/04/2024;5,0538;5,0392;5,0574;5,0043;;0,29%
05/04/2024;5,0655;5,0549;5,0746;5,028;;0,23%
08/04/2024;5,0268;5,0665;5,0759;5,0247;;-0,76%
09/04/2024;5,009;5,0281;5,031;4,9995;;-0,35%
10/04/2024;5,0746;5,0092;5,0863;4,997;;1,31%
11/04/2024;5,0917;5,0735;5,0931;5,058;;0,34%
12/04/2024;5,1175;5,0922;5,1487;5,089;;0,51%
15/04/2024;5,1846;5,1149;5,2153;5,1031;;1,31%
16/04/2024;5,2826;5,1851;5,2873;5,1817;;1,89%
17/04/2024;5,242;5,2829;5,2916;5,2194;;-0,77%
18/04/2024;5,2482;5,2421;5,2789;5,2284;;0,12%
19/04/2024;5,2027;5,2485;5,2778;5,1849;;-0,87%
22/04/2024;5,168;5,2021;5,2189;5,1633;;-0,67%
23/04/2024;5,126;5,1674;5,1894;5,1182;;-0,81%
24/04/2024;5,1457;5,1263;5,172;5,1238;;0,38%
25/04/2024;5,1602;5,1472;5,1935;5,1099;;0,28%
26/04/2024;5,1151;5,1615;5,1673;5,1085;;-0,87%
29/04/2024;5,1189;5,117;5,1227;5,102;;0,07%
30/04/2024;5,1934;5,119;5,1975;5,1133;;1,46%
01/05/2024;5,1936;5,194;5,1999;5,1929;;0,00%
02/05/2024;5,1113;5,194;5,194;5,0995;;-1,58%
03/05/2024;5,0725;5,111;5,115;5,0453;;-0,76%
06/05/2024;5,0758;5,0725;5,0917;5,0602;;0,07%
07/05/2024;5,0707;5,077;5,0847;5,0484;;-0,10%
08/05/2024;5,0909;5,0726;5,1077;5,0688;;0,40%
09/05/2024;5,1424;5,0909;5,177;5,0907;;1,01%
10/05/2024;5,1588;5,1424;5,1608;5,1185;;0,32%
